ticker,tier,entry_date,entry_price,exit_date,exit_price,return_pct,pnl_dollars,hold_days,exit_reason
LRCX,qvm,2017-10-02,16.5286,2017-12-04,16.0655,-2.8,-2801.77,63,trailing_stop
LRCX,qvm,2018-01-02,16.8713,2018-02-02,15.9603,-5.4,-5384.24,31,trailing_stop
AMAT,qvm,2018-01-02,48.3742,2018-02-05,44.0603,-8.92,-8892.8,34,trailing_stop
APO,qvm,2018-04-02,22.7315,2018-07-02,25.5813,12.54,12322.87,91,qvm_rebalance
PYPL,qvm,2018-04-02,74.6012,2018-07-02,83.4439,11.85,11650.9,91,qvm_rebalance
META,qvm,2018-04-02,154.1801,2018-07-26,174.8876,13.43,13201.34,115,trailing_stop
CPRT,qvm,2018-04-02,12.45,2018-09-19,13.895,11.61,11408.21,170,trailing_stop
ANET,qvm,2018-04-02,15.8444,2018-10-01,16.2275,2.42,2376.76,182,trailing_stop
NVDA,qvm,2018-04-02,5.4681,2018-10-10,6.0847,11.28,11083.76,191,trailing_stop
ADBE,qvm,2018-04-02,212.28,2018-11-19,219.69,3.49,3431.06,231,trailing_stop
TPL,qvm,2018-07-02,69.1414,2018-10-01,86.2419,24.73,24903.23,91,qvm_rebalance
EMR,qvm,2018-07-02,57.8939,2018-10-01,65.16,12.55,12637.37,91,qvm_rebalance
CTAS,qvm,2018-07-02,43.5532,2018-10-01,45.7164,4.97,5001.15,91,qvm_rebalance
PYPL,qvm,2018-07-02,83.4439,2018-10-01,87.0844,4.36,4392.93,91,qvm_rebalance
LRCX,qvm,2018-10-01,13.5916,2018-12-14,12.3306,-9.28,-10027.54,74,trailing_stop
META,qvm,2018-10-01,161.1752,2018-11-19,130.5257,-19.02,-20553.08,49,trailing_stop
ANET,qvm,2019-01-02,13.1594,2019-04-01,19.8975,51.2,54519.44,89,qvm_rebalance
VRTX,qvm,2019-01-02,164.08,2019-05-13,164.61,0.32,343.93,131,trailing_stop
MU,qvm,2019-01-02,31.9407,2019-05-13,36.4562,14.14,15052.81,131,trailing_stop
TPL,qvm,2019-01-02,56.3438,2019-05-31,73.9368,31.22,33246.11,149,trailing_stop
META,qvm,2019-01-02,134.6235,2019-06-03,162.8719,20.98,22341.89,152,trailing_stop
ADBE,qvm,2019-01-02,224.57,2019-10-22,261.09,16.26,17315.16,293,trailing_stop
LULU,qvm,2019-01-02,123.35,2020-02-27,220.7,78.92,84031.96,421,trailing_stop
OXY,qvm,2019-04-01,57.8159,2019-05-01,49.468,-14.44,-16160.94,30,trailing_stop
MPWR,qvm,2019-04-01,132.8786,2019-05-13,119.7933,-9.85,-11022.03,42,trailing_stop
GOOG,qvm,2019-04-01,59.2352,2019-06-03,51.3896,-13.24,-14824.52,63,trailing_stop
CTRA,qvm,2019-04-01,19.1074,2019-06-24,17.2174,-9.89,-11070.72,84,trailing_stop
VRTX,qvm,2019-07-01,181.84,2020-03-12,204.06,12.22,13895.76,255,trailing_stop
GOOG,qvm,2019-07-01,54.4505,2020-03-09,60.2831,10.71,12181.19,252,trailing_stop
FTNT,qvm,2019-07-01,15.438,2020-02-27,20.528,32.97,37493.37,241,trailing_stop
CTRA,qvm,2019-07-01,17.0544,2019-07-26,14.2009,-16.73,-19027.05,25,trailing_stop
ALGN,qvm,2019-07-01,271.68,2019-07-25,200.9,-26.05,-29626.52,24,trailing_stop
CPRT,qvm,2019-10-01,19.8825,2020-02-26,22.09,11.1,12085.57,148,trailing_stop
ANET,qvm,2019-10-01,14.3969,2019-11-01,11.5813,-19.56,-21288.45,31,trailing_stop
ALGN,qvm,2019-10-01,182.3,2020-02-03,253.02,38.79,42227.27,125,trailing_stop
TPL,qvm,2020-01-02,77.76,2020-02-27,68.037,-12.5,-13561.07,56,trailing_stop
ANET,qvm,2020-01-02,12.795,2020-02-27,12.0737,-5.64,-6113.57,56,trailing_stop
META,qvm,2020-01-02,208.1466,2020-03-03,184.4426,-11.39,-12350.98,61,trailing_stop
GRMN,qvm,2020-04-01,62.6973,2020-07-01,85.8521,36.93,46327.74,91,qvm_rebalance
EW,qvm,2020-04-01,57.5433,2020-07-01,69.0,19.91,24975.42,91,qvm_rebalance
PYPL,qvm,2020-04-01,90.894,2020-07-01,176.4864,94.17,118127.01,91,qvm_rebalance
TPL,qvm,2020-04-01,38.7171,2020-06-11,59.1594,52.8,66233.51,71,trailing_stop
LULU,qvm,2020-04-01,183.5,2020-07-01,308.62,68.19,85534.26,91,qvm_rebalance
GOOG,qvm,2020-04-01,54.8308,2020-07-01,71.3165,30.07,37716.43,91,qvm_rebalance
CPRT,qvm,2020-04-01,16.1975,2020-07-01,21.1475,30.56,38335.98,91,qvm_rebalance
ISRG,qvm,2020-04-01,152.7533,2020-07-01,191.8467,25.59,32104.18,91,qvm_rebalance
TER,qvm,2020-07-01,81.0477,2020-09-08,73.9201,-8.79,-14983.81,69,trailing_stop
TER,qvm,2020-10-01,79.5671,2021-01-29,111.1638,39.71,67063.93,120,trailing_stop
AMAT,qvm,2021-01-04,83.087,2021-05-12,110.0858,32.49,54877.13,128,trailing_stop
VRTX,qvm,2021-01-04,229.43,2021-06-11,193.02,-15.87,-26801.0,158,trailing_stop
WSM,qvm,2021-04-01,82.8435,2021-06-17,71.241,-14.01,-24591.65,77,trailing_stop
TER,qvm,2021-04-01,126.2715,2021-07-01,126.9297,0.52,915.21,91,qvm_rebalance
PYPL,qvm,2021-04-01,246.2236,2021-09-28,260.7957,5.92,10391.68,180,trailing_stop
REGN,qvm,2021-04-01,471.743,2021-10-01,566.9597,20.18,35440.57,183,trailing_stop
